sex,number,year
total_player,13821,2000
total_player,4109,2002
total_player,13443,2004
total_player,4382,2006
total_player,13602,2008
total_player,4402,2010
total_player,12920,2012
total_player,4891,2014
total_player,13688,2016
total_male,8390,2000
total_male,2527,2002
total_male,7897,2004
total_male,2625,2006
total_male,7786,2008
total_male,2555,2010
total_male,7105,2012
total_male,2868,2014
total_male,7465,2016
total_female,5431,2000
total_female,1582,2002
total_female,5546,2004
total_female,1757,2006
total_female,5816,2008
total_female,1847,2010
total_female,5815,2012
total_female,2023,2014
total_female,6223,2016
